commodity,scrape_time,product_name,grade,origin,min_price,max_price,avg_price,price,trend,unit
锂辉石,2026-06-08 16:57:59,锂辉石精矿,5.0-5.5%,澳大利亚,2310,2350,2330,,,美元/吨
锂辉石,2026-06-08 16:57:59,锂辉石精矿,5.0-5.5%,津巴布韦,2300,2340,2320,,,美元/吨
锂辉石,2026-06-08 16:57:59,锂辉石精矿,5.0-5.5%,巴西,2300,2330,2315,,,美元/吨
锂辉石,2026-06-08 16:57:59,锂辉石精矿,5.0-5.5%,马里,2520,2600,2560,,,美元/吨
锂辉石,2026-06-08 16:57:59,锂辉石原矿,1.0-2.0%,南非,380,500,440,,,美元/吨
锂云母,2026-06-08 16:57:59,锂云母精矿：2.0-2.5%：市场价格,2.0-2.5%,,2270,2520,2395.0,,,元/吨度
