commodity,source,scrape_time,product_name,grade,origin,min_price,max_price,avg_price,price,unit,update_time,note
锂辉石,ScrapMonster,2026-06-25 23:08:19,锂辉石精矿 (Li2O 6% min),6% Li2O,CIF China,,,,2522.19,美元/吨,2026-06-19 00:00,品位6% Li2O，与Mysteel的5.0-5.5%不同
锂云母,Mysteel,2026-06-25 23:08:19,锂云母精矿：2.0-2.5%：市场价格,2.0-2.5%,,2220,2470,2345.0,,元/吨度,2026-06-24 00:00,
