类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45300 ~ 46800,46050.0,0.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16900 ~ 18200,17550.0,200.0,元/吨,2026-07-03
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19400 ~ 20000,19700.0,250.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 48100,47050.0,0.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 48400,47600.0,0.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（8系）电池包,未破碎,44700 ~ 46000,45350.0,0.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,26250 ~ 31700,28975.0,775.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,22100 ~ 25900,24000.0,625.0,元/吨,2026-07-03
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7113 ~ 7113,7113.0,109.0,元/锂点,2026-07-03
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,84 ~ 87,85.5,1.0,%,2026-07-03
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6900 ~ 7400,7150.0,150.0,元/锂点,2026-07-03
废旧锂电池,三元523极片粉,523,99800 ~ 102400,101100.0,700.0,元/吨,2026-07-03
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,22100 ~ 31100,26600.0,600.0,元/吨,2026-07-03
