品名,规格,价格,单位,日期,涨跌
硫酸,98%,1782.5,元/吨,2026-05-02,0.00%
硫酸,98%,1782.5,元/吨,2026-05-09,0.00%
硫酸,98%,1857.5,元/吨,2026-05-16,4.21%
硫酸,98%,1955.0,元/吨,2026-05-23,9.68%
硫酸,98%,1945.0,元/吨,2026-05-30,9.12%
硫酸,98%,1832.5,元/吨,2026-06-06,2.81%
硫酸,98%,2090.0,元/吨,2026-06-13,17.25%
硫酸,98%,2217.5,元/吨,2026-06-20,24.40%
硫酸,98%,2167.5,元/吨,2026-06-27,21.60%
硫酸,98%,2112.5,元/吨,2026-07-01,18.51%
双氧水,98%,653.33,元/吨,2026-07-01,-17.99%
双氧水,98%,616.67,元/吨,2026-06-21,-22.59%
双氧水,98%,646.67,元/吨,2026-06-11,-18.83%
双氧水,98%,676.67,元/吨,2026-06-01,-15.06%
双氧水,98%,753.33,元/吨,2026-05-22,-5.44%
双氧水,98%,916.67,元/吨,2026-05-12,15.06%
双氧水,98%,1223.33,元/吨,2026-05-02,53.56%
双氧水,98%,1033.33,元/吨,2026-04-22,29.71%
双氧水,98%,780.0,元/吨,2026-04-12,-2.09%
双氧水,98%,796.67,元/吨,2026-04-02,0.00%
