品名,规格,价格,单位,日期,涨跌
硫酸,98%,1900.0,元/吨,2026-04-23,0.00%
硫酸,98%,1782.5,元/吨,2026-04-30,-6.18%
硫酸,98%,1782.5,元/吨,2026-05-07,-6.18%
硫酸,98%,1862.5,元/吨,2026-05-14,-1.97%
硫酸,98%,1950.0,元/吨,2026-05-21,2.63%
硫酸,98%,1945.0,元/吨,2026-05-28,2.37%
硫酸,98%,1832.5,元/吨,2026-06-04,-3.55%
硫酸,98%,1990.0,元/吨,2026-06-11,4.74%
硫酸,98%,2217.5,元/吨,2026-06-18,16.71%
硫酸,98%,2117.5,元/吨,2026-06-22,11.45%
双氧水,98%,620.0,元/吨,2026-06-22,-21.52%
双氧水,98%,646.67,元/吨,2026-06-12,-18.14%
双氧水,98%,676.67,元/吨,2026-06-02,-14.35%
双氧水,98%,753.33,元/吨,2026-05-23,-4.64%
双氧水,98%,916.67,元/吨,2026-05-13,16.03%
双氧水,98%,1223.33,元/吨,2026-05-03,54.85%
双氧水,98%,1156.67,元/吨,2026-04-23,46.41%
双氧水,98%,810.0,元/吨,2026-04-13,2.53%
双氧水,98%,796.67,元/吨,2026-04-03,0.84%
双氧水,98%,790.0,元/吨,2026-03-24,0.00%
