类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45000 ~ 46500,45750.0,0.0,元/吨,2026-06-30
废旧锂电池,三元圆柱钢壳电池,未破碎,31300 ~ 34000,32650.0,0.0,元/吨,2026-06-30
废旧锂电池,三元软包电池,未破碎,45600 ~ 47000,46300.0,0.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16600 ~ 17700,17150.0,100.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 10700,10250.0,100.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15300 ~ 16700,16000.0,150.0,元/吨,2026-06-30
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 90500,87250.0,0.0,元/吨,2026-06-30
废旧锂电池,钴酸锂聚合物软包,未破碎,96200 ~ 98500,97350.0,0.0,元/吨,2026-06-30
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-06-30
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-06-30
废旧锂电池,小三元软包,未破碎,29400 ~ 30200,29800.0,0.0,元/吨,2026-06-30
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-06-30
废旧锂电池,锰酸锂铝壳,未破碎,10000 ~ 10800,10400.0,0.0,元/吨,2026-06-30
废旧锂电池,锰酸锂聚合物软包,未破碎,8900 ~ 10000,9450.0,0.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,18800 ~ 19800,19300.0,100.0,元/吨,2026-06-30
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 93200,91600.0,0.0,元/吨,2026-06-30
废旧锂电池,高钴钴酸锂铝壳,未破碎,75400 ~ 78000,76700.0,0.0,元/吨,2026-06-30
废旧锂电池,苹果条,未破碎,103000 ~ 114000,108500.0,0.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 47500,46750.0,0.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 47800,47300.0,0.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（8系）电池包,未破碎,44500 ~ 45600,45050.0,0.0,元/吨,2026-06-30
废旧锂电池,三元未注液铝壳电芯,未破碎,53000 ~ 54000,53500.0,0.0,元/吨,2026-06-30
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,34600 ~ 36500,35550.0,0.0,元/吨,2026-06-30
废旧锂电池,三元未注液软包电芯,未破碎,54000 ~ 55500,54750.0,0.0,元/吨,2026-06-30
废旧锂电池,铁锂未注液铝壳电芯,未破碎,22000 ~ 23500,22750.0,100.0,元/吨,2026-06-30
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,14200 ~ 16500,15350.0,100.0,元/吨,2026-06-30
废旧锂电池,铁锂未注液软包电芯,未破碎,21700 ~ 23100,22400.0,150.0,元/吨,2026-06-30
废旧锂电池,三元523卷芯,未破碎,61000 ~ 63000,62000.0,250.0,元/吨,2026-06-30
废旧锂电池,三元622卷芯,未破碎,63700 ~ 66800,65250.0,250.0,元/吨,2026-06-30
废旧锂电池,三元811卷芯,未破碎,58500 ~ 60600,59550.0,300.0,元/吨,2026-06-30
废旧锂电池,铁锂卷芯,未破碎,21900 ~ 24700,23300.0,200.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,24300 ~ 28600,26450.0,525.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20500 ~ 23500,22000.0,425.0,元/吨,2026-06-30
废旧锂电池,磷酸铁锂正极片锂系数,磷酸铁锂正极片,73 ~ 75,74.0,0.0,%,2026-06-30
废旧锂电池,纯钴正极片,未破碎,205000 ~ 230000,217500.0,-5000.0,元/吨,2026-06-26
废旧锂电池,SMM三元极片粉镍系数指数,镍 18%-40%,78.32 ~ 78.32,78.32,0.0,%,2026-06-30
废旧锂电池,SMM三元极片粉锂系数指数,锂 5.5%-6.5%,78.32 ~ 78.32,78.32,0.0,%,2026-06-30
废旧锂电池,SMM三元极片粉钴系数指数,钴 5%-18%,78.32 ~ 78.32,78.32,0.0,%,2026-06-30
废旧锂电池,SMM三元电池粉镍系数指数,镍 9%-20%,74.8 ~ 74.8,74.8,0.0,%,2026-06-30
废旧锂电池,SMM三元电池粉锂系数指数,锂 3%-3.5%,74.8 ~ 74.8,74.8,0.0,%,2026-06-30
废旧锂电池,SMM三元电池粉钴系数指数,钴 5%-10%,74.8 ~ 74.8,74.8,0.0,%,2026-06-30
废旧锂电池,SMM钴酸锂极片粉钴系数指数,钴 50%-55%,79.68 ~ 79.68,79.68,0.0,%,2026-06-30
废旧锂电池,SMM钴酸锂极片粉锂系数指数,锂 5.5%-6.5%,76.23 ~ 76.23,76.23,0.0,%,2026-06-30
废旧锂电池,SMM钴酸锂电池粉钴系数指数,钴 25%-30%,76.84 ~ 76.84,76.84,0.0,%,2026-06-30
废旧锂电池,SMM钴酸锂电池粉锂系数指数,锂 3%-3.5%,75.92 ~ 75.92,75.92,0.0,%,2026-06-30
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,6803 ~ 6803,6803.0,1.0,元/锂点,2026-06-30
废旧锂电池,SMM磷酸铁锂电池粉指数,锂 3%-3.5%,6461 ~ 6461,6461.0,1.0,元/锂点,2026-06-30
废旧锂电池,三元极片粉镍系数,18%<Ni<40%,77 ~ 79,78.0,0.0,%,2026-06-30
废旧锂电池,三元极片粉钴系数,5%<Co<18%,77 ~ 79,78.0,0.0,%,2026-06-30
废旧锂电池,三元极片粉锂系数,5.5%<Li<6.5%,77 ~ 79,78.0,0.0,%,2026-06-30
废旧锂电池,三元极片粉镍系数（FOB韩国）,镍 18%-40%,120 ~ 125,122.5,-0.5,%,2026-06-26
废旧锂电池,三元极片粉钴系数（FOB韩国）,钴 5%-18%,120 ~ 125,122.5,-0.5,%,2026-06-26
废旧锂电池,三元极片粉镍系数 (FOB马来西亚),镍18%-40%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉钴系数 (FOB马来西亚),钴5%-18%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉锂系数 (FOB马来西亚),锂5.5%-6.5%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元电池粉镍系数(FOB马来西亚),镍 9%-20%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数(FOB马来西亚),钴 5%-10%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉锂系数(FOB马来西亚),锂 3%-3.5%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数（FOB韩国）,钴 5%-10%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元电池粉镍系数（FOB韩国）,镍 9%-20%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元极片粉高镍系数,40%<Ni<50%,78 ~ 81,79.5,0.0,%,2026-06-30
废旧锂电池,三元极片粉高钴系数,钴 20%-35%,77 ~ 80,78.5,0.0,%,2026-06-30
废旧锂电池,三元极片粉高镍钴系数,2%<Co<5%,77 ~ 79,78.0,0.0,%,2026-06-30
废旧锂电池,三元极片粉高镍锂系数,5.5%<Li<6.5%,77 ~ 79,78.0,0.0,%,2026-06-30
废旧锂电池,三元电池粉镍系数,9%<Ni<20%,73.5 ~ 75,74.25,0.0,%,2026-06-30
废旧锂电池,三元电池粉钴系数,5%<Co<10%,73.5 ~ 75,74.25,0.0,%,2026-06-30
废旧锂电池,三元电池粉锂系数,3%<Li<3.5%,73.5 ~ 75,74.25,0.0,%,2026-06-30
废旧锂电池,钴酸锂极片粉钴系数,50%<Co<55%,78 ~ 80,79.0,0.0,%,2026-06-30
废旧锂电池,钴酸锂极片粉锂系数,5.5%<Li<6.5%,75 ~ 77,76.0,0.0,%,2026-06-30
废旧锂电池,钴酸锂电池粉钴系数,25%<Co<30%,76 ~ 78,77.0,0.0,%,2026-06-30
废旧锂电池,钴酸锂电池粉锂系数,3%<Li<3.5%,75 ~ 77,76.0,0.0,%,2026-06-30
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,81 ~ 83,82.0,0.0,%,2026-06-30
废旧锂电池,磷酸铁锂电池粉锂系数,2.0%<Li<2.8%,75 ~ 80,77.5,0.5,%,2026-06-30
废旧锂电池,镍钴渣粉镍系数,"25%<Ni<35%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,镍钴渣粉钴系数,"3%<Co<5%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6600 ~ 6850,6725.0,25.0,元/锂点,2026-06-30
废旧锂电池,磷酸铁锂电池粉锂点,2.0%<Li<2.8%,6200 ~ 6450,6325.0,25.0,元/锂点,2026-06-30
废旧锂电池,三元111极片粉,111,113750 ~ 116700,115225.0,1075.0,元/吨,2026-06-30
废旧锂电池,三元523极片粉,523,98000 ~ 100500,99250.0,1025.0,元/吨,2026-06-30
废旧锂电池,三元622极片粉,622,104750 ~ 107450,106100.0,1000.0,元/吨,2026-06-30
废旧锂电池,三元811极片粉,811,98750 ~ 101300,100025.0,950.0,元/吨,2026-06-30
废旧锂电池,三元电池粉,3%<Li<3.5%,46250 ~ 59800,53025.0,550.0,元/吨,2026-06-30
废旧锂电池,钴酸锂电池粉,25%<Co<30%,98000 ~ 120050,109025.0,650.0,元/吨,2026-06-30
废旧锂电池,钴酸锂极片粉,50%<Co<55%,197100 ~ 225200,211150.0,1150.0,元/吨,2026-06-30
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21150 ~ 28800,24975.0,125.0,元/吨,2026-06-30
废旧锂电池,磷酸铁锂电池粉,2.0%<Li<2.8%,12400 ~ 18050,15225.0,50.0,元/吨,2026-06-30
废旧锂电池,镍钴渣,"""25%<Ni<35%,3%<Co<5%,30%<水分含量<50%",38250 ~ 52700,45475.0,-1300.0,元/吨,2026-06-26
废旧锂电池,三元方壳锂电B品,150Ah以上,0.75 ~ 0.84,0.795,0.0,元/Ah,2026-06-30
废旧锂电池,三元方壳锂电B品,20-30Ah,1.14 ~ 1.45,1.295,0.0,元/Ah,2026-06-26
废旧锂电池,三元方壳锂电B品,50-60Ah,1.2 ~ 1.48,1.34,0.0,元/Ah,2026-06-26
废旧锂电池,方形磷酸铁锂电池B品,280Ah,0.68 ~ 0.8,0.74,0.0,元/Ah,2026-06-26
废旧锂电池,33140圆柱锂电池,15Ah,0.7 ~ 0.77,0.735,0.0,元/Ah,2026-06-30
废旧锂电池,18650圆柱锂电池B品1300mah,1300mah,0.45 ~ 0.55,0.5,0.0,元/Ah,2026-06-30
废旧锂电池,18650圆柱锂电池B品1500-1800mah,1500-1800mah,0.42 ~ 0.49,0.455,0.0,元/Ah,2026-06-30
废旧锂电池,18650圆柱锂电池B品2000-2500mah,2000-2500mah,0.52 ~ 0.62,0.57,0.0,元/Ah,2026-06-30
废旧锂电池,18650圆柱锂电池B品2500-3000mah,2500-3000mah,0.7 ~ 0.79,0.745,0.0,元/Ah,2026-06-30
废旧锂电池,杂电,-,42000 ~ 62000,52000.0,500.0,元/吨,2026-01-09
废旧锂电池,品电,-,74000 ~ 78000,76000.0,500.0,元/吨,2026-01-09
废旧锂电池,聚合物,-,94000 ~ 99000,96500.0,2000.0,元/吨,2026-01-09
废旧锂电池,苹果条,-,103000 ~ 108000,105500.0,2000.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_方壳,方壳,12300 ~ 13300,12800.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_软包,软包,11600 ~ 12600,12100.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_圆柱,圆柱,9900 ~ 10900,10400.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_方壳,方壳,35100 ~ 37600,36350.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_圆柱,圆柱,29000 ~ 31500,30250.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_软包,-,36400 ~ 38900,37650.0,0.0,元/吨,2026-01-09
