类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45500 ~ 47000,46250.0,-350.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16800 ~ 18000,17400.0,-150.0,元/吨,2026-06-25
废旧锂电池,小三元铝壳,未破碎,29000 ~ 30100,29550.0,-200.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19000 ~ 20000,19500.0,-100.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（5系）电池包,未破碎,46500 ~ 47900,47200.0,-250.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（6系）电池包,未破碎,47000 ~ 48500,47750.0,-250.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 46000,45500.0,-300.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,24400 ~ 28650,26525.0,-100.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20600 ~ 23750,22175.0,-50.0,元/吨,2026-06-25
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7039 ~ 7039,7039.0,-9.0,元/锂点,2026-06-25
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,82 ~ 84,83.0,1.0,%,2026-06-25
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6800 ~ 7100,6950.0,-25.0,元/锂点,2026-06-25
废旧锂电池,三元523极片粉,523,98650 ~ 101200,99925.0,-575.0,元/吨,2026-06-25
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21750 ~ 29850,25800.0,-100.0,元/吨,2026-06-25
