类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45800 ~ 47400,46600.0,-200.0,元/吨,2026-06-24
废旧锂电池,三元圆柱钢壳电池,未破碎,32000 ~ 34200,33100.0,-100.0,元/吨,2026-06-24
废旧锂电池,三元软包电池,未破碎,46500 ~ 48000,47250.0,-200.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17000 ~ 18100,17550.0,-100.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 11300,10550.0,-100.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15700 ~ 17000,16350.0,-100.0,元/吨,2026-06-24
废旧锂电池,钴酸锂铝壳,未破碎,84200 ~ 92000,88100.0,-200.0,元/吨,2026-06-24
废旧锂电池,钴酸锂聚合物软包,未破碎,97500 ~ 99500,98500.0,-200.0,元/吨,2026-06-24
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-06-24
废旧锂电池,小三元铝壳,未破碎,29000 ~ 30500,29750.0,-100.0,元/吨,2026-06-24
废旧锂电池,小三元软包,未破碎,29500 ~ 31400,30450.0,-200.0,元/吨,2026-06-24
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-06-24
废旧锂电池,锰酸锂铝壳,未破碎,10200 ~ 11100,10650.0,0.0,元/吨,2026-06-24
废旧锂电池,锰酸锂聚合物软包,未破碎,9000 ~ 10500,9750.0,0.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19200 ~ 20000,19600.0,-100.0,元/吨,2026-06-24
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 94000,92000.0,-200.0,元/吨,2026-06-24
废旧锂电池,高钴钴酸锂铝壳,未破碎,76200 ~ 78000,77100.0,-200.0,元/吨,2026-06-24
废旧锂电池,苹果条,未破碎,109300 ~ 119000,114150.0,-500.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（5系）电池包,未破碎,46900 ~ 48000,47450.0,-150.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（6系）电池包,未破碎,47500 ~ 48500,48000.0,-150.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 46600,45800.0,0.0,元/吨,2026-06-24
废旧锂电池,三元未注液铝壳电芯,未破碎,53500 ~ 55400,54450.0,-200.0,元/吨,2026-06-24
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,35500 ~ 36600,36050.0,-100.0,元/吨,2026-06-24
废旧锂电池,三元未注液软包电芯,未破碎,54600 ~ 56400,55500.0,-200.0,元/吨,2026-06-24
废旧锂电池,铁锂未注液铝壳电芯,未破碎,21800 ~ 24300,23050.0,-100.0,元/吨,2026-06-24
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,14100 ~ 16800,15450.0,-100.0,元/吨,2026-06-24
废旧锂电池,铁锂未注液软包电芯,未破碎,21500 ~ 23800,22650.0,-100.0,元/吨,2026-06-24
废旧锂电池,三元523卷芯,未破碎,61700 ~ 64000,62850.0,0.0,元/吨,2026-06-24
废旧锂电池,三元622卷芯,未破碎,64400 ~ 68000,66200.0,0.0,元/吨,2026-06-24
废旧锂电池,三元811卷芯,未破碎,59000 ~ 61300,60150.0,0.0,元/吨,2026-06-24
