类别,品名,规格,价格范围,平均价,涨跌,单位,日期
电解液,电解液,三元动力用,27800 ~ 30900,29350.0,0.0,元/吨,2026-06-11
电解液,电解液,铁锂储能用,25300 ~ 28100,26700.0,0.0,元/吨,2026-06-11
电解液,电解液,铁锂动力用,27800 ~ 29900,28850.0,0.0,元/吨,2026-06-11
电解液,电解液,磷酸铁锂用,25300 ~ 29900,27600.0,0.0,元/吨,2026-06-11
电解液,电解液,钴酸锂电解液（4.2V-4.4V）,27000 ~ 31000,29000.0,0.0,元/吨,2026-06-11
电解液,电解液,钴酸锂电解液（4.45V-4.48V）,31000 ~ 35000,33000.0,0.0,元/吨,2026-06-11
电解液,电解液,钴酸锂电解液（4.5V及以上）,45000 ~ 54000,49500.0,0.0,元/吨,2026-06-11
电解液,电解液,锰酸锂用,17900 ~ 25900,21900.0,0.0,元/吨,2026-06-11
锂化合物,六氟磷酸锂（国产）,LiPF₆≥99.95%,110000 ~ 118000,114000.0,0.0,元/吨,2026-06-11
锂化合物,SMM六氟磷酸锂指数,LiPF₆含量≥99.95%,102445 ~ 106627,104536.0,-54.5,元/吨,2026-06-11
溶剂及相关原料,碳酸乙烯酯EC,电池级（送到成交价）,5500 ~ 5800,5650.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸丙烯酯PC,电池级（送到成交价）,8200 ~ 8600,8400.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸甲乙酯EMC,电池级（送到成交价）,6500 ~ 6900,6700.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸二乙酯DEC,电池级（送到成交价）,8900 ~ 9300,9100.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸二甲酯DMC,电池级（送到成交价）,4800 ~ 5100,4950.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸二甲酯DMC,电池级（出厂价）,4200 ~ 4500,4350.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸二乙酯DEC,电池级（出厂价）,8400 ~ 8800,8600.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸甲乙酯EMC,电池级（出厂价）,6000 ~ 6400,6200.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸丙烯酯PC,电池级（出厂价）,7700 ~ 8000,7850.0,0.0,元/吨,2026-06-11
溶剂及相关原料,碳酸乙烯酯EC,电池级（出厂价）,5000 ~ 5300,5150.0,0.0,元/吨,2026-06-11
添加剂,碳酸亚乙烯酯VC,电池级,135000 ~ 150000,142500.0,0.0,元/吨,2026-06-11
添加剂,氟代碳酸乙烯酯FEC,电池级,50000 ~ 58000,54000.0,0.0,元/吨,2026-06-11
添加剂,双氟磺酰亚胺锂,LiFSI≥99.9%,146000 ~ 150000,148000.0,0.0,元/吨,2026-06-11
