类别,品名,规格,价格范围,平均价,涨跌,单位,日期
电解液,电解液,三元动力用,27800 ~ 30900,29350.0,0.0,元/吨,2026-06-25
电解液,电解液,铁锂储能用,25300 ~ 28100,26700.0,0.0,元/吨,2026-06-25
电解液,电解液,铁锂动力用,27800 ~ 29900,28850.0,0.0,元/吨,2026-06-25
电解液,电解液,磷酸铁锂用,25300 ~ 29900,27600.0,0.0,元/吨,2026-06-25
电解液,电解液,钴酸锂电解液（4.2V-4.4V）,27000 ~ 31000,29000.0,0.0,元/吨,2026-06-25
电解液,电解液,钴酸锂电解液（4.45V-4.48V）,31000 ~ 35000,33000.0,0.0,元/吨,2026-06-25
电解液,电解液,钴酸锂电解液（4.5V及以上）,45000 ~ 54000,49500.0,0.0,元/吨,2026-06-25
电解液,电解液,锰酸锂用,17900 ~ 25900,21900.0,0.0,元/吨,2026-06-25
锂化合物,六氟磷酸锂（国产）,LiPF₆≥99.95%,105000 ~ 110000,107500.0,-500.0,元/吨,2026-06-25
锂化合物,SMM六氟磷酸锂指数,LiPF₆含量≥99.95%,100740 ~ 104852,102796.0,-189.5,元/吨,2026-06-25
溶剂及相关原料,碳酸乙烯酯EC,电池级（送到成交价）,5500 ~ 5800,5650.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸丙烯酯PC,电池级（送到成交价）,7400 ~ 7900,7650.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸甲乙酯EMC,电池级（送到成交价）,6500 ~ 6900,6700.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸二乙酯DEC,电池级（送到成交价）,8100 ~ 8600,8350.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸二甲酯DMC,电池级（送到成交价）,4600 ~ 5000,4800.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸二甲酯DMC,电池级（出厂价）,4000 ~ 4400,4200.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸二乙酯DEC,电池级（出厂价）,7600 ~ 8100,7850.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸甲乙酯EMC,电池级（出厂价）,6000 ~ 6400,6200.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸丙烯酯PC,电池级（出厂价）,6900 ~ 7300,7100.0,0.0,元/吨,2026-06-25
溶剂及相关原料,碳酸乙烯酯EC,电池级（出厂价）,5000 ~ 5300,5150.0,0.0,元/吨,2026-06-25
添加剂,碳酸亚乙烯酯VC,电池级,142000 ~ 167000,154500.0,1000.0,元/吨,2026-06-25
添加剂,氟代碳酸乙烯酯FEC,电池级,59000 ~ 70000,64500.0,1000.0,元/吨,2026-06-25
添加剂,双氟磺酰亚胺锂,LiFSI≥99.9%,146000 ~ 150000,148000.0,0.0,元/吨,2026-06-25
