品名,规格,价格,单位,日期,涨跌
硫酸,98%,1782.5,元/吨,2026-05-03,0.00%
硫酸,98%,1782.5,元/吨,2026-05-10,0.00%
硫酸,98%,1857.5,元/吨,2026-05-17,4.21%
硫酸,98%,1955.0,元/吨,2026-05-24,9.68%
硫酸,98%,1945.0,元/吨,2026-05-31,9.12%
硫酸,98%,1832.5,元/吨,2026-06-07,2.81%
硫酸,98%,2090.0,元/吨,2026-06-14,17.25%
硫酸,98%,2217.5,元/吨,2026-06-21,24.40%
硫酸,98%,2167.5,元/吨,2026-06-28,21.60%
硫酸,98%,2112.5,元/吨,2026-07-02,18.51%
双氧水,98%,666.67,元/吨,2026-07-02,-16.32%
双氧水,98%,620.0,元/吨,2026-06-22,-22.18%
双氧水,98%,646.67,元/吨,2026-06-12,-18.83%
双氧水,98%,676.67,元/吨,2026-06-02,-15.06%
双氧水,98%,753.33,元/吨,2026-05-23,-5.44%
双氧水,98%,916.67,元/吨,2026-05-13,15.06%
双氧水,98%,1223.33,元/吨,2026-05-03,53.56%
双氧水,98%,1156.67,元/吨,2026-04-23,45.19%
双氧水,98%,810.0,元/吨,2026-04-13,1.67%
双氧水,98%,796.67,元/吨,2026-04-03,0.00%
