品名,规格,价格,单位,日期,涨跌
硫酸,98%,1887.5,元/吨,2026-04-26,0.00%
硫酸,98%,1782.5,元/吨,2026-05-03,-5.56%
硫酸,98%,1782.5,元/吨,2026-05-10,-5.56%
硫酸,98%,1857.5,元/吨,2026-05-17,-1.59%
硫酸,98%,1955.0,元/吨,2026-05-24,3.58%
硫酸,98%,1945.0,元/吨,2026-05-31,3.05%
硫酸,98%,1832.5,元/吨,2026-06-07,-2.91%
硫酸,98%,2090.0,元/吨,2026-06-14,10.73%
硫酸,98%,2217.5,元/吨,2026-06-21,17.48%
硫酸,98%,2167.5,元/吨,2026-06-24,14.83%
双氧水,98%,626.67,元/吨,2026-06-24,-20.67%
双氧水,98%,616.67,元/吨,2026-06-15,-21.94%
双氧水,98%,656.67,元/吨,2026-06-05,-16.88%
双氧水,98%,726.67,元/吨,2026-05-26,-8.02%
双氧水,98%,916.67,元/吨,2026-05-16,16.03%
双氧水,98%,1160.0,元/吨,2026-05-06,46.84%
双氧水,98%,1190.0,元/吨,2026-04-26,50.63%
双氧水,98%,810.0,元/吨,2026-04-16,2.53%
双氧水,98%,796.67,元/吨,2026-04-06,0.84%
双氧水,98%,790.0,元/吨,2026-03-27,0.00%
