类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45300 ~ 46800,46050.0,0.0,元/吨,2026-07-03
废旧锂电池,三元圆柱钢壳电池,未破碎,31400 ~ 34500,32950.0,0.0,元/吨,2026-07-03
废旧锂电池,三元软包电池,未破碎,45700 ~ 47500,46600.0,0.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16900 ~ 18200,17550.0,200.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 11400,10600.0,150.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15600 ~ 17200,16400.0,200.0,元/吨,2026-07-03
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 90500,87250.0,0.0,元/吨,2026-07-03
废旧锂电池,钴酸锂聚合物软包,未破碎,96200 ~ 98500,97350.0,0.0,元/吨,2026-07-03
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-07-03
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-07-03
废旧锂电池,小三元软包,未破碎,29400 ~ 30200,29800.0,0.0,元/吨,2026-07-03
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-07-03
废旧锂电池,锰酸锂铝壳,未破碎,10000 ~ 10800,10400.0,0.0,元/吨,2026-07-03
废旧锂电池,锰酸锂聚合物软包,未破碎,8900 ~ 10000,9450.0,0.0,元/吨,2026-07-03
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19400 ~ 20000,19700.0,250.0,元/吨,2026-07-03
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 93200,91600.0,0.0,元/吨,2026-07-03
废旧锂电池,高钴钴酸锂铝壳,未破碎,75400 ~ 78000,76700.0,0.0,元/吨,2026-07-03
废旧锂电池,苹果条,未破碎,103000 ~ 114000,108500.0,0.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 48100,47050.0,0.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 48400,47600.0,0.0,元/吨,2026-07-03
废旧锂电池,三元铝壳（8系）电池包,未破碎,44700 ~ 46000,45350.0,0.0,元/吨,2026-07-03
废旧锂电池,三元未注液铝壳电芯,未破碎,53000 ~ 54600,53800.0,0.0,元/吨,2026-07-03
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,34700 ~ 37000,35850.0,0.0,元/吨,2026-07-03
废旧锂电池,三元未注液软包电芯,未破碎,54100 ~ 56000,55050.0,0.0,元/吨,2026-07-03
