品名,规格,价格,单位,日期,涨跌
硫酸,98%,2075.0,元/吨,2026-04-19,0.00%
硫酸,98%,1887.5,元/吨,2026-04-26,-9.04%
硫酸,98%,1782.5,元/吨,2026-05-03,-14.10%
硫酸,98%,1782.5,元/吨,2026-05-10,-14.10%
硫酸,98%,1857.5,元/吨,2026-05-17,-10.48%
硫酸,98%,1955.0,元/吨,2026-05-24,-5.78%
硫酸,98%,1945.0,元/吨,2026-05-31,-6.27%
硫酸,98%,1832.5,元/吨,2026-06-07,-11.69%
硫酸,98%,2090.0,元/吨,2026-06-14,0.72%
硫酸,98%,2217.5,元/吨,2026-06-18,6.87%
双氧水,98%,616.67,元/吨,2026-06-18,-20.60%
双氧水,98%,650.0,元/吨,2026-06-08,-16.31%
双氧水,98%,676.67,元/吨,2026-05-29,-12.88%
双氧水,98%,826.67,元/吨,2026-05-19,6.44%
双氧水,98%,1056.67,元/吨,2026-05-09,36.05%
双氧水,98%,1223.33,元/吨,2026-04-29,57.51%
双氧水,98%,810.0,元/吨,2026-04-19,4.29%
双氧水,98%,780.0,元/吨,2026-04-09,0.43%
双氧水,98%,796.67,元/吨,2026-03-30,2.58%
双氧水,98%,776.67,元/吨,2026-03-20,0.00%
