类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元极片粉镍系数 (FOB马来西亚),镍18%-40%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉钴系数 (FOB马来西亚),钴5%-18%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉锂系数 (FOB马来西亚),锂5.5%-6.5%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元电池粉镍系数(FOB马来西亚),镍 9%-20%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数(FOB马来西亚),钴 5%-10%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉锂系数(FOB马来西亚),锂 3%-3.5%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数（FOB韩国）,钴 5%-10%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元电池粉镍系数（FOB韩国）,镍 9%-20%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元极片粉高镍系数,40%<Ni<50%,78 ~ 81,79.5,0.0,%,2026-07-01
废旧锂电池,三元极片粉高钴系数,钴 20%-35%,77 ~ 80,78.5,0.0,%,2026-07-01
废旧锂电池,三元极片粉高镍钴系数,2%<Co<5%,77 ~ 79,78.0,0.0,%,2026-07-01
废旧锂电池,三元极片粉高镍锂系数,5.5%<Li<6.5%,77 ~ 79,78.0,0.0,%,2026-07-01
废旧锂电池,三元电池粉镍系数,9%<Ni<20%,73.5 ~ 75,74.25,0.0,%,2026-07-01
废旧锂电池,三元电池粉钴系数,5%<Co<10%,73.5 ~ 75,74.25,0.0,%,2026-07-01
废旧锂电池,三元电池粉锂系数,3%<Li<3.5%,73.5 ~ 75,74.25,0.0,%,2026-07-01
废旧锂电池,钴酸锂极片粉钴系数,50%<Co<55%,78 ~ 80,79.0,0.0,%,2026-07-01
废旧锂电池,钴酸锂极片粉锂系数,5.5%<Li<6.5%,75 ~ 77,76.0,0.0,%,2026-07-01
废旧锂电池,钴酸锂电池粉钴系数,25%<Co<30%,76 ~ 78,77.0,0.0,%,2026-07-01
废旧锂电池,钴酸锂电池粉锂系数,3%<Li<3.5%,75 ~ 77,76.0,0.0,%,2026-07-01
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,83 ~ 85,84.0,2.0,%,2026-07-01
废旧锂电池,磷酸铁锂电池粉锂系数,2.0%<Li<2.8%,76 ~ 81,78.5,1.0,%,2026-07-01
废旧锂电池,镍钴渣粉镍系数,"25%<Ni<35%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,镍钴渣粉钴系数,"3%<Co<5%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6700 ~ 7000,6850.0,125.0,元/锂点,2026-07-01
废旧锂电池,磷酸铁锂电池粉锂点,2.0%<Li<2.8%,6300 ~ 6600,6450.0,125.0,元/锂点,2026-07-01
废旧锂电池,三元111极片粉,111,114400 ~ 117400,115900.0,675.0,元/吨,2026-07-01
废旧锂电池,三元523极片粉,523,98550 ~ 101100,99825.0,575.0,元/吨,2026-07-01
废旧锂电池,三元622极片粉,622,105200 ~ 107950,106575.0,475.0,元/吨,2026-07-01
废旧锂电池,三元811极片粉,811,99100 ~ 101700,100400.0,375.0,元/吨,2026-07-01
废旧锂电池,三元电池粉,3%<Li<3.5%,46500 ~ 60100,53300.0,275.0,元/吨,2026-07-01
废旧锂电池,钴酸锂电池粉,25%<Co<30%,98400 ~ 120550,109475.0,450.0,元/吨,2026-07-01
废旧锂电池,钴酸锂极片粉,50%<Co<55%,197850 ~ 226150,212000.0,850.0,元/吨,2026-07-01
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21450 ~ 29400,25425.0,450.0,元/吨,2026-07-01
废旧锂电池,磷酸铁锂电池粉,2.0%<Li<2.8%,12600 ~ 18500,15550.0,325.0,元/吨,2026-07-01
废旧锂电池,镍钴渣,"""25%<Ni<35%,3%<Co<5%,30%<水分含量<50%",38250 ~ 52700,45475.0,-1300.0,元/吨,2026-06-26
废旧锂电池,三元方壳锂电B品,150Ah以上,0.75 ~ 0.84,0.795,0.0,元/Ah,2026-07-01
