品名,规格,价格,单位,日期,涨跌
硫酸,98%,1782.5,元/吨,2026-05-01,0.00%
硫酸,98%,1782.5,元/吨,2026-05-08,0.00%
硫酸,98%,1857.5,元/吨,2026-05-15,4.21%
硫酸,98%,1955.0,元/吨,2026-05-22,9.68%
硫酸,98%,1945.0,元/吨,2026-05-29,9.12%
硫酸,98%,1832.5,元/吨,2026-06-05,2.81%
硫酸,98%,2090.0,元/吨,2026-06-12,17.25%
硫酸,98%,2217.5,元/吨,2026-06-19,24.40%
硫酸,98%,2167.5,元/吨,2026-06-26,21.60%
硫酸,98%,2112.5,元/吨,2026-06-30,18.51%
双氧水,98%,653.33,元/吨,2026-06-30,-17.99%
双氧水,98%,616.67,元/吨,2026-06-20,-22.59%
双氧水,98%,646.67,元/吨,2026-06-10,-18.83%
双氧水,98%,676.67,元/吨,2026-05-31,-15.06%
双氧水,98%,753.33,元/吨,2026-05-21,-5.44%
双氧水,98%,940.0,元/吨,2026-05-11,17.99%
双氧水,98%,1223.33,元/吨,2026-05-01,53.56%
双氧水,98%,1033.33,元/吨,2026-04-21,29.71%
双氧水,98%,780.0,元/吨,2026-04-11,-2.09%
双氧水,98%,796.67,元/吨,2026-04-01,0.00%
