类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,47000 ~ 48000,47500.0,-250.0,元/吨,2026-06-18
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17400 ~ 18800,18100.0,-300.0,元/吨,2026-06-18
废旧锂电池,小三元铝壳,未破碎,29000 ~ 31600,30300.0,-150.0,元/吨,2026-06-18
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19300 ~ 21000,20150.0,-200.0,元/吨,2026-06-18
废旧锂电池,三元铝壳（5系）电池包,未破碎,47700 ~ 48000,47850.0,-200.0,元/吨,2026-06-18
废旧锂电池,三元铝壳（6系）电池包,未破碎,47800 ~ 48900,48350.0,-150.0,元/吨,2026-06-18
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 47000,46000.0,-150.0,元/吨,2026-06-18
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,25850 ~ 30350,28100.0,-375.0,元/吨,2026-06-18
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,21800 ~ 25200,23500.0,-300.0,元/吨,2026-06-18
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7458 ~ 7458,7458.0,-31.0,元/锂点,2026-06-18
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,82 ~ 84,83.0,-1.5,%,2026-06-18
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,7200 ~ 7600,7400.0,-100.0,元/锂点,2026-06-18
废旧锂电池,三元523极片粉,523,103150 ~ 106750,104950.0,-1000.0,元/吨,2026-06-18
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,23050 ~ 31950,27500.0,-350.0,元/吨,2026-06-18
