类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45000 ~ 46900,45950.0,-300.0,元/吨,2026-06-26
废旧锂电池,三元圆柱钢壳电池,未破碎,31500 ~ 34000,32750.0,-250.0,元/吨,2026-06-26
废旧锂电池,三元软包电池,未破碎,45800 ~ 47400,46600.0,-300.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16700 ~ 17800,17250.0,-150.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 10800,10300.0,-100.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15300 ~ 16800,16050.0,-200.0,元/吨,2026-06-26
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 91000,87500.0,-250.0,元/吨,2026-06-26
废旧锂电池,钴酸锂聚合物软包,未破碎,96500 ~ 99000,97750.0,-450.0,元/吨,2026-06-26
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-06-26
废旧锂电池,小三元铝壳,未破碎,28800 ~ 30000,29400.0,-150.0,元/吨,2026-06-26
废旧锂电池,小三元软包,未破碎,29500 ~ 30500,30000.0,-250.0,元/吨,2026-06-26
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-06-26
废旧锂电池,锰酸锂铝壳,未破碎,10000 ~ 11000,10500.0,-150.0,元/吨,2026-06-26
废旧锂电池,锰酸锂聚合物软包,未破碎,9000 ~ 10100,9550.0,-200.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,18800 ~ 19900,19350.0,-150.0,元/吨,2026-06-26
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 93600,91800.0,0.0,元/吨,2026-06-26
废旧锂电池,高钴钴酸锂铝壳,未破碎,75800 ~ 78000,76900.0,0.0,元/吨,2026-06-26
废旧锂电池,苹果条,未破碎,105000 ~ 115000,110000.0,-3000.0,元/吨,2026-06-26
废旧锂电池,三元铝壳（5系）电池包,未破碎,46500 ~ 47500,47000.0,-200.0,元/吨,2026-06-26
废旧锂电池,三元铝壳（6系）电池包,未破碎,47000 ~ 48000,47500.0,-250.0,元/吨,2026-06-26
废旧锂电池,三元铝壳（8系）电池包,未破碎,44800 ~ 45800,45300.0,-200.0,元/吨,2026-06-26
废旧锂电池,三元未注液铝壳电芯,未破碎,53300 ~ 54200,53750.0,-400.0,元/吨,2026-06-26
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,35000 ~ 36500,35750.0,-150.0,元/吨,2026-06-26
废旧锂电池,三元未注液软包电芯,未破碎,54000 ~ 56000,55000.0,-200.0,元/吨,2026-06-26
废旧锂电池,铁锂未注液铝壳电芯,未破碎,21800 ~ 23900,22850.0,-200.0,元/吨,2026-06-26
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,14100 ~ 16600,15350.0,-100.0,元/吨,2026-06-26
废旧锂电池,铁锂未注液软包电芯,未破碎,21500 ~ 23400,22450.0,-200.0,元/吨,2026-06-26
废旧锂电池,三元523卷芯,未破碎,60600 ~ 63500,62050.0,-500.0,元/吨,2026-06-26
废旧锂电池,三元622卷芯,未破碎,63500 ~ 67000,65250.0,-550.0,元/吨,2026-06-26
废旧锂电池,三元811卷芯,未破碎,58000 ~ 61000,59500.0,-350.0,元/吨,2026-06-26
废旧锂电池,铁锂卷芯,未破碎,21800 ~ 24800,23300.0,-300.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,23850 ~ 28100,25975.0,-550.0,元/吨,2026-06-26
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20050 ~ 23200,21625.0,-550.0,元/吨,2026-06-26
废旧锂电池,磷酸铁锂正极片锂系数,磷酸铁锂正极片,73 ~ 75,74.0,0.0,%,2026-06-26
废旧锂电池,纯钴正极片,未破碎,205000 ~ 230000,217500.0,-5000.0,元/吨,2026-06-26
废旧锂电池,SMM三元极片粉镍系数指数,镍 18%-40%,78.32 ~ 78.32,78.32,-0.01,%,2026-06-26
废旧锂电池,SMM三元极片粉锂系数指数,锂 5.5%-6.5%,78.32 ~ 78.32,78.32,0.0,%,2026-06-26
废旧锂电池,SMM三元极片粉钴系数指数,钴 5%-18%,78.32 ~ 78.32,78.32,-0.01,%,2026-06-26
废旧锂电池,SMM三元电池粉镍系数指数,镍 9%-20%,74.8 ~ 74.8,74.8,0.0,%,2026-06-26
废旧锂电池,SMM三元电池粉锂系数指数,锂 3%-3.5%,74.8 ~ 74.8,74.8,0.0,%,2026-06-26
废旧锂电池,SMM三元电池粉钴系数指数,钴 5%-10%,74.8 ~ 74.8,74.8,0.0,%,2026-06-26
废旧锂电池,SMM钴酸锂极片粉钴系数指数,钴 50%-55%,79.68 ~ 79.68,79.68,-2.1,%,2026-06-26
废旧锂电池,SMM钴酸锂极片粉锂系数指数,锂 5.5%-6.5%,76.23 ~ 76.23,76.23,0.0,%,2026-06-26
废旧锂电池,SMM钴酸锂电池粉钴系数指数,钴 25%-30%,76.84 ~ 76.84,76.84,-2.51,%,2026-06-26
废旧锂电池,SMM钴酸锂电池粉锂系数指数,锂 3%-3.5%,75.92 ~ 75.92,75.92,0.0,%,2026-06-26
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,6803 ~ 6803,6803.0,-236.0,元/锂点,2026-06-26
废旧锂电池,SMM磷酸铁锂电池粉指数,锂 3%-3.5%,6464 ~ 6464,6464.0,-131.0,元/锂点,2026-06-26
废旧锂电池,三元极片粉镍系数,18%<Ni<40%,77 ~ 79,78.0,0.0,%,2026-06-26
废旧锂电池,三元极片粉钴系数,5%<Co<18%,77 ~ 79,78.0,0.0,%,2026-06-26
废旧锂电池,三元极片粉锂系数,5.5%<Li<6.5%,77 ~ 79,78.0,0.0,%,2026-06-26
废旧锂电池,三元极片粉镍系数（FOB韩国）,镍 18%-40%,120 ~ 125,122.5,-0.5,%,2026-06-26
废旧锂电池,三元极片粉钴系数（FOB韩国）,钴 5%-18%,120 ~ 125,122.5,-0.5,%,2026-06-26
废旧锂电池,三元极片粉镍系数 (FOB马来西亚),镍18%-40%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉钴系数 (FOB马来西亚),钴5%-18%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元极片粉锂系数 (FOB马来西亚),锂5.5%-6.5%,66 ~ 68,67.0,-1.0,%,2026-06-26
废旧锂电池,三元电池粉镍系数(FOB马来西亚),镍 9%-20%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数(FOB马来西亚),钴 5%-10%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉锂系数(FOB马来西亚),锂 3%-3.5%,55 ~ 58,56.5,-1.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数（FOB韩国）,钴 5%-10%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元电池粉镍系数（FOB韩国）,镍 9%-20%,100 ~ 104,102.0,-0.5,%,2026-06-26
废旧锂电池,三元极片粉高镍系数,40%<Ni<50%,78 ~ 81,79.5,-0.5,%,2026-06-26
废旧锂电池,三元极片粉高钴系数,钴 20%-35%,77 ~ 80,78.5,0.0,%,2026-06-26
废旧锂电池,三元极片粉高镍钴系数,2%<Co<5%,77 ~ 79,78.0,0.0,%,2026-06-26
废旧锂电池,三元极片粉高镍锂系数,5.5%<Li<6.5%,77 ~ 79,78.0,0.0,%,2026-06-26
废旧锂电池,三元电池粉镍系数,9%<Ni<20%,73.5 ~ 75,74.25,0.0,%,2026-06-26
废旧锂电池,三元电池粉钴系数,5%<Co<10%,73.5 ~ 75,74.25,0.0,%,2026-06-26
废旧锂电池,三元电池粉锂系数,3%<Li<3.5%,73.5 ~ 75,74.25,0.0,%,2026-06-26
废旧锂电池,钴酸锂极片粉钴系数,50%<Co<55%,78 ~ 80,79.0,-1.5,%,2026-06-26
废旧锂电池,钴酸锂极片粉锂系数,5.5%<Li<6.5%,75 ~ 77,76.0,0.0,%,2026-06-26
废旧锂电池,钴酸锂电池粉钴系数,25%<Co<30%,76 ~ 78,77.0,-1.0,%,2026-06-26
废旧锂电池,钴酸锂电池粉锂系数,3%<Li<3.5%,75 ~ 77,76.0,0.0,%,2026-06-26
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,81 ~ 83,82.0,-1.0,%,2026-06-26
废旧锂电池,磷酸铁锂电池粉锂系数,2.0%<Li<2.8%,74 ~ 80,77.0,-1.0,%,2026-06-26
废旧锂电池,镍钴渣粉镍系数,"25%<Ni<35%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,镍钴渣粉钴系数,"3%<Co<5%,30%<水分含量<50%",77 ~ 79,78.0,-0.5,%,2026-06-26
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6600 ~ 6900,6750.0,-200.0,元/锂点,2026-06-26
废旧锂电池,磷酸铁锂电池粉锂点,2.0%<Li<2.8%,6200 ~ 6500,6350.0,-200.0,元/锂点,2026-06-26
废旧锂电池,三元111极片粉,111,113000 ~ 115900,114450.0,-1600.0,元/吨,2026-06-26
废旧锂电池,三元523极片粉,523,97200 ~ 99750,98475.0,-1450.0,元/吨,2026-06-26
废旧锂电池,三元622极片粉,622,104000 ~ 106750,105375.0,-1450.0,元/吨,2026-06-26
废旧锂电池,三元811极片粉,811,98050 ~ 100600,99325.0,-1375.0,元/吨,2026-06-26
废旧锂电池,三元电池粉,3%<Li<3.5%,45850 ~ 59400,52625.0,-750.0,元/吨,2026-06-26
废旧锂电池,钴酸锂电池粉,25%<Co<30%,97800 ~ 119850,108825.0,-2075.0,元/吨,2026-06-26
废旧锂电池,钴酸锂极片粉,50%<Co<55%,196800 ~ 224850,210825.0,-5100.0,元/吨,2026-06-26
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21150 ~ 29000,25075.0,-725.0,元/吨,2026-06-26
废旧锂电池,磷酸铁锂电池粉,2.0%<Li<2.8%,12400 ~ 18200,15300.0,-475.0,元/吨,2026-06-26
废旧锂电池,镍钴渣,"""25%<Ni<35%,3%<Co<5%,30%<水分含量<50%",38250 ~ 52700,45475.0,-1300.0,元/吨,2026-06-26
废旧锂电池,三元方壳锂电B品,150Ah以上,0.75 ~ 0.84,0.795,0.0,元/Ah,2026-06-26
废旧锂电池,三元方壳锂电B品,20-30Ah,1.14 ~ 1.45,1.295,0.0,元/Ah,2026-06-26
废旧锂电池,三元方壳锂电B品,50-60Ah,1.2 ~ 1.48,1.34,0.0,元/Ah,2026-06-26
废旧锂电池,方形磷酸铁锂电池B品,280Ah,0.68 ~ 0.8,0.74,0.0,元/Ah,2026-06-26
废旧锂电池,33140圆柱锂电池,15Ah,0.7 ~ 0.77,0.735,0.0,元/Ah,2026-06-26
废旧锂电池,18650圆柱锂电池B品1300mah,1300mah,0.45 ~ 0.55,0.5,0.0,元/Ah,2026-06-26
废旧锂电池,18650圆柱锂电池B品1500-1800mah,1500-1800mah,0.42 ~ 0.49,0.455,0.0,元/Ah,2026-06-26
废旧锂电池,18650圆柱锂电池B品2000-2500mah,2000-2500mah,0.52 ~ 0.62,0.57,0.0,元/Ah,2026-06-26
废旧锂电池,18650圆柱锂电池B品2500-3000mah,2500-3000mah,0.7 ~ 0.79,0.745,0.0,元/Ah,2026-06-26
废旧锂电池,杂电,-,42000 ~ 62000,52000.0,500.0,元/吨,2026-01-09
废旧锂电池,品电,-,74000 ~ 78000,76000.0,500.0,元/吨,2026-01-09
废旧锂电池,聚合物,-,94000 ~ 99000,96500.0,2000.0,元/吨,2026-01-09
