类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,47000 ~ 48500,47750.0,-200.0,元/吨,2026-06-16
废旧锂电池,三元圆柱钢壳电池,未破碎,32200 ~ 35100,33650.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元软包电池,未破碎,47600 ~ 49400,48500.0,-200.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17800 ~ 19000,18400.0,-150.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,10500 ~ 11800,11150.0,-150.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,16500 ~ 18000,17250.0,-200.0,元/吨,2026-06-16
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 94000,89000.0,0.0,元/吨,2026-06-16
废旧锂电池,钴酸锂聚合物软包,未破碎,98000 ~ 101200,99600.0,-200.0,元/吨,2026-06-16
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19500,18750.0,-50.0,元/吨,2026-06-16
废旧锂电池,小三元铝壳,未破碎,29000 ~ 31900,30450.0,-100.0,元/吨,2026-06-16
废旧锂电池,小三元软包,未破碎,30200 ~ 32500,31350.0,-100.0,元/吨,2026-06-16
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-06-16
废旧锂电池,锰酸锂铝壳,未破碎,10200 ~ 11600,10900.0,0.0,元/吨,2026-06-16
废旧锂电池,锰酸锂聚合物软包,未破碎,9000 ~ 11000,10000.0,0.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19700 ~ 21000,20350.0,-100.0,元/吨,2026-06-16
废旧锂电池,纯钴钴酸锂铝壳,未破碎,91000 ~ 94800,92900.0,0.0,元/吨,2026-06-16
废旧锂电池,高钴钴酸锂铝壳,未破碎,76000 ~ 80100,78050.0,0.0,元/吨,2026-06-16
废旧锂电池,苹果条,未破碎,110000 ~ 122300,116150.0,-200.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（5系）电池包,未破碎,47700 ~ 48400,48050.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（6系）电池包,未破碎,48000 ~ 49000,48500.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 47300,46150.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元未注液铝壳电芯,未破碎,54700 ~ 56100,55400.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,36100 ~ 37500,36800.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元未注液软包电芯,未破碎,55000 ~ 58000,56500.0,-100.0,元/吨,2026-06-16
废旧锂电池,铁锂未注液铝壳电芯,未破碎,22600 ~ 25000,23800.0,-200.0,元/吨,2026-06-16
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,15000 ~ 17000,16000.0,-200.0,元/吨,2026-06-16
废旧锂电池,铁锂未注液软包电芯,未破碎,22200 ~ 24700,23450.0,-200.0,元/吨,2026-06-16
废旧锂电池,三元523卷芯,未破碎,63200 ~ 65000,64100.0,-150.0,元/吨,2026-06-16
废旧锂电池,三元622卷芯,未破碎,65500 ~ 69000,67250.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元811卷芯,未破碎,60000 ~ 62000,61000.0,-100.0,元/吨,2026-06-16
废旧锂电池,铁锂卷芯,未破碎,23000 ~ 26500,24750.0,-250.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,26200 ~ 30750,28475.0,-200.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,22050 ~ 25550,23800.0,-175.0,元/吨,2026-06-16
废旧锂电池,磷酸铁锂正极片锂系数,磷酸铁锂正极片,75 ~ 78,76.5,-0.5,%,2026-06-16
