品名,规格,价格,单位,日期,涨跌
硫酸,98%,1782.5,元/吨,2026-05-04,0.00%
硫酸,98%,1862.5,元/吨,2026-05-11,4.49%
硫酸,98%,1862.5,元/吨,2026-05-18,4.49%
硫酸,98%,1955.0,元/吨,2026-05-25,9.68%
硫酸,98%,1945.0,元/吨,2026-06-01,9.12%
硫酸,98%,1820.0,元/吨,2026-06-08,2.10%
硫酸,98%,2165.0,元/吨,2026-06-15,21.46%
硫酸,98%,2117.5,元/吨,2026-06-22,18.79%
硫酸,98%,2167.5,元/吨,2026-06-29,21.60%
硫酸,98%,2112.5,元/吨,2026-07-03,18.51%
双氧水,98%,666.67,元/吨,2026-07-03,-16.32%
双氧水,98%,626.67,元/吨,2026-06-23,-21.34%
双氧水,98%,646.67,元/吨,2026-06-13,-18.83%
双氧水,98%,656.67,元/吨,2026-06-03,-17.57%
双氧水,98%,753.33,元/吨,2026-05-24,-5.44%
双氧水,98%,916.67,元/吨,2026-05-14,15.06%
双氧水,98%,1223.33,元/吨,2026-05-04,53.56%
双氧水,98%,1190.0,元/吨,2026-04-24,49.37%
双氧水,98%,810.0,元/吨,2026-04-14,1.67%
双氧水,98%,796.67,元/吨,2026-04-04,0.00%
