品名,规格,价格,单位,日期,涨跌
硫酸,98%,1795.0,元/吨,2026-04-27,0.00%
硫酸,98%,1782.5,元/吨,2026-05-04,-0.70%
硫酸,98%,1862.5,元/吨,2026-05-11,3.76%
硫酸,98%,1862.5,元/吨,2026-05-18,3.76%
硫酸,98%,1955.0,元/吨,2026-05-25,8.91%
硫酸,98%,1945.0,元/吨,2026-06-01,8.36%
硫酸,98%,1820.0,元/吨,2026-06-08,1.39%
硫酸,98%,2165.0,元/吨,2026-06-15,20.61%
硫酸,98%,2117.5,元/吨,2026-06-22,17.97%
硫酸,98%,2167.5,元/吨,2026-06-26,20.75%
双氧水,98%,633.33,元/吨,2026-06-26,-19.83%
双氧水,98%,616.67,元/吨,2026-06-16,-21.94%
双氧水,98%,656.67,元/吨,2026-06-06,-16.88%
双氧水,98%,726.67,元/吨,2026-05-27,-8.02%
双氧水,98%,916.67,元/吨,2026-05-17,16.03%
双氧水,98%,1126.67,元/吨,2026-05-07,42.62%
双氧水,98%,1233.33,元/吨,2026-04-27,56.12%
双氧水,98%,810.0,元/吨,2026-04-17,2.53%
双氧水,98%,780.0,元/吨,2026-04-07,-1.27%
双氧水,98%,790.0,元/吨,2026-03-28,0.00%
