类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45000 ~ 46500,45750.0,0.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16600 ~ 17700,17150.0,100.0,元/吨,2026-06-30
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,18800 ~ 19800,19300.0,100.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 47500,46750.0,0.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 47800,47300.0,0.0,元/吨,2026-06-30
废旧锂电池,三元铝壳（8系）电池包,未破碎,44500 ~ 45600,45050.0,0.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,24300 ~ 28600,26450.0,525.0,元/吨,2026-06-30
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20500 ~ 23500,22000.0,425.0,元/吨,2026-06-30
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,6803 ~ 6803,6803.0,1.0,元/锂点,2026-06-30
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,81 ~ 83,82.0,0.0,%,2026-06-30
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6600 ~ 6850,6725.0,25.0,元/锂点,2026-06-30
废旧锂电池,三元523极片粉,523,98000 ~ 100500,99250.0,1025.0,元/吨,2026-06-30
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21150 ~ 28800,24975.0,125.0,元/吨,2026-06-30
