品名,规格,价格,单位,日期,涨跌
硫酸,98%,1887.5,元/吨,2026-04-24,0.00%
硫酸,98%,1782.5,元/吨,2026-05-01,-5.56%
硫酸,98%,1782.5,元/吨,2026-05-08,-5.56%
硫酸,98%,1857.5,元/吨,2026-05-15,-1.59%
硫酸,98%,1955.0,元/吨,2026-05-22,3.58%
硫酸,98%,1945.0,元/吨,2026-05-29,3.05%
硫酸,98%,1832.5,元/吨,2026-06-05,-2.91%
硫酸,98%,2090.0,元/吨,2026-06-12,10.73%
硫酸,98%,2217.5,元/吨,2026-06-19,17.48%
硫酸,98%,2117.5,元/吨,2026-06-23,12.19%
双氧水,98%,626.67,元/吨,2026-06-23,-20.67%
双氧水,98%,646.67,元/吨,2026-06-13,-18.14%
双氧水,98%,656.67,元/吨,2026-06-03,-16.88%
双氧水,98%,753.33,元/吨,2026-05-24,-4.64%
双氧水,98%,916.67,元/吨,2026-05-14,16.03%
双氧水,98%,1223.33,元/吨,2026-05-04,54.85%
双氧水,98%,1190.0,元/吨,2026-04-24,50.63%
双氧水,98%,810.0,元/吨,2026-04-14,2.53%
双氧水,98%,796.67,元/吨,2026-04-04,0.84%
双氧水,98%,790.0,元/吨,2026-03-25,0.00%
