品名,规格,价格,单位,日期,涨跌
硫酸,98%,2075.0,元/吨,2026-04-17,0.00%
硫酸,98%,1887.5,元/吨,2026-04-24,-9.04%
硫酸,98%,1782.5,元/吨,2026-05-01,-14.10%
硫酸,98%,1782.5,元/吨,2026-05-08,-14.10%
硫酸,98%,1857.5,元/吨,2026-05-15,-10.48%
硫酸,98%,1955.0,元/吨,2026-05-22,-5.78%
硫酸,98%,1945.0,元/吨,2026-05-29,-6.27%
硫酸,98%,1832.5,元/吨,2026-06-05,-11.69%
硫酸,98%,2090.0,元/吨,2026-06-12,0.72%
硫酸,98%,2165.0,元/吨,2026-06-15,4.34%
双氧水,98%,616.67,元/吨,2026-06-15,-20.60%
双氧水,98%,656.67,元/吨,2026-06-06,-15.45%
双氧水,98%,726.67,元/吨,2026-05-27,-6.44%
双氧水,98%,916.67,元/吨,2026-05-17,18.03%
双氧水,98%,1126.67,元/吨,2026-05-07,45.06%
双氧水,98%,1233.33,元/吨,2026-04-27,58.80%
双氧水,98%,810.0,元/吨,2026-04-17,4.29%
双氧水,98%,780.0,元/吨,2026-04-07,0.43%
双氧水,98%,790.0,元/吨,2026-03-28,1.72%
双氧水,98%,776.67,元/吨,2026-03-18,0.00%
