类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45500 ~ 47000,46250.0,-350.0,元/吨,2026-06-25
废旧锂电池,三元圆柱钢壳电池,未破碎,32000 ~ 34000,33000.0,-100.0,元/吨,2026-06-25
废旧锂电池,三元软包电池,未破碎,46000 ~ 47800,46900.0,-350.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16800 ~ 18000,17400.0,-150.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 11000,10400.0,-150.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15500 ~ 17000,16250.0,-100.0,元/吨,2026-06-25
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 91500,87750.0,-350.0,元/吨,2026-06-25
废旧锂电池,钴酸锂聚合物软包,未破碎,97000 ~ 99400,98200.0,-300.0,元/吨,2026-06-25
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-06-25
废旧锂电池,小三元铝壳,未破碎,29000 ~ 30100,29550.0,-200.0,元/吨,2026-06-25
废旧锂电池,小三元软包,未破碎,29500 ~ 31000,30250.0,-200.0,元/吨,2026-06-25
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-06-25
废旧锂电池,锰酸锂铝壳,未破碎,10200 ~ 11100,10650.0,0.0,元/吨,2026-06-25
废旧锂电池,锰酸锂聚合物软包,未破碎,9000 ~ 10500,9750.0,0.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19000 ~ 20000,19500.0,-100.0,元/吨,2026-06-25
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 93600,91800.0,-200.0,元/吨,2026-06-25
废旧锂电池,高钴钴酸锂铝壳,未破碎,75800 ~ 78000,76900.0,-200.0,元/吨,2026-06-25
废旧锂电池,苹果条,未破碎,108000 ~ 118000,113000.0,-1150.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（5系）电池包,未破碎,46500 ~ 47900,47200.0,-250.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（6系）电池包,未破碎,47000 ~ 48500,47750.0,-250.0,元/吨,2026-06-25
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 46000,45500.0,-300.0,元/吨,2026-06-25
废旧锂电池,三元未注液铝壳电芯,未破碎,53500 ~ 54800,54150.0,-300.0,元/吨,2026-06-25
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,35300 ~ 36500,35900.0,-150.0,元/吨,2026-06-25
废旧锂电池,三元未注液软包电芯,未破碎,54400 ~ 56000,55200.0,-300.0,元/吨,2026-06-25
废旧锂电池,铁锂未注液铝壳电芯,未破碎,21800 ~ 24300,23050.0,0.0,元/吨,2026-06-25
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,14100 ~ 16800,15450.0,0.0,元/吨,2026-06-25
废旧锂电池,铁锂未注液软包电芯,未破碎,21500 ~ 23800,22650.0,0.0,元/吨,2026-06-25
废旧锂电池,三元523卷芯,未破碎,61500 ~ 63600,62550.0,-300.0,元/吨,2026-06-25
废旧锂电池,三元622卷芯,未破碎,64000 ~ 67600,65800.0,-400.0,元/吨,2026-06-25
废旧锂电池,三元811卷芯,未破碎,58700 ~ 61000,59850.0,-300.0,元/吨,2026-06-25
废旧锂电池,铁锂卷芯,未破碎,22000 ~ 25200,23600.0,-300.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,24400 ~ 28650,26525.0,-100.0,元/吨,2026-06-25
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20600 ~ 23750,22175.0,-50.0,元/吨,2026-06-25
废旧锂电池,磷酸铁锂正极片锂系数,磷酸铁锂正极片,73 ~ 75,74.0,1.0,%,2026-06-25
废旧锂电池,纯钴正极片,未破碎,210000 ~ 235000,222500.0,-800.0,元/吨,2026-06-18
废旧锂电池,SMM三元极片粉镍系数指数,镍 18%-40%,78.33 ~ 78.33,78.33,-0.03,%,2026-06-25
废旧锂电池,SMM三元极片粉锂系数指数,锂 5.5%-6.5%,78.32 ~ 78.32,78.32,-0.03,%,2026-06-25
废旧锂电池,SMM三元极片粉钴系数指数,钴 5%-18%,78.33 ~ 78.33,78.33,-0.03,%,2026-06-25
废旧锂电池,SMM三元电池粉镍系数指数,镍 9%-20%,74.8 ~ 74.8,74.8,-0.05,%,2026-06-25
废旧锂电池,SMM三元电池粉锂系数指数,锂 3%-3.5%,74.8 ~ 74.8,74.8,-0.05,%,2026-06-25
废旧锂电池,SMM三元电池粉钴系数指数,钴 5%-10%,74.8 ~ 74.8,74.8,-0.05,%,2026-06-25
废旧锂电池,SMM钴酸锂极片粉钴系数指数,钴 50%-55%,81.78 ~ 81.78,81.78,-0.52,%,2026-06-25
废旧锂电池,SMM钴酸锂极片粉锂系数指数,锂 5.5%-6.5%,76.23 ~ 76.23,76.23,0.0,%,2026-06-25
废旧锂电池,SMM钴酸锂电池粉钴系数指数,钴 25%-30%,79.35 ~ 79.35,79.35,-0.62,%,2026-06-25
废旧锂电池,SMM钴酸锂电池粉锂系数指数,锂 3%-3.5%,75.92 ~ 75.92,75.92,0.0,%,2026-06-25
