类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,47400 ~ 48500,47950.0,0.0,元/吨,2026-06-15
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17800 ~ 19300,18550.0,0.0,元/吨,2026-06-15
废旧锂电池,小三元铝壳,未破碎,29000 ~ 32100,30550.0,0.0,元/吨,2026-06-15
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19700 ~ 21200,20450.0,0.0,元/吨,2026-06-15
废旧锂电池,三元铝壳（5系）电池包,未破碎,47700 ~ 48600,48150.0,0.0,元/吨,2026-06-15
废旧锂电池,三元铝壳（6系）电池包,未破碎,48000 ~ 49200,48600.0,0.0,元/吨,2026-06-15
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 47500,46250.0,0.0,元/吨,2026-06-15
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,26600 ~ 30750,28675.0,425.0,元/吨,2026-06-15
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,22400 ~ 25550,23975.0,325.0,元/吨,2026-06-15
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7494 ~ 7494,7494.0,58.0,元/锂点,2026-06-15
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,85 ~ 87,86.0,1.0,%,2026-06-15
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,7400 ~ 7700,7550.0,100.0,元/锂点,2026-06-15
废旧锂电池,三元523极片粉,523,105050 ~ 107900,106475.0,-275.0,元/吨,2026-06-15
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,23700 ~ 32350,28025.0,400.0,元/吨,2026-06-15
