类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,47000 ~ 48500,47750.0,-200.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17800 ~ 19000,18400.0,-150.0,元/吨,2026-06-16
废旧锂电池,小三元铝壳,未破碎,29000 ~ 31900,30450.0,-100.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19700 ~ 21000,20350.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（5系）电池包,未破碎,47700 ~ 48400,48050.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（6系）电池包,未破碎,48000 ~ 49000,48500.0,-100.0,元/吨,2026-06-16
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 47300,46150.0,-100.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,26200 ~ 30750,28475.0,-200.0,元/吨,2026-06-16
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,22050 ~ 25550,23800.0,-175.0,元/吨,2026-06-16
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7489 ~ 7489,7489.0,-5.0,元/锂点,2026-06-16
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,83 ~ 86,84.5,-1.5,%,2026-06-16
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,7300 ~ 7700,7500.0,-50.0,元/锂点,2026-06-16
废旧锂电池,三元523极片粉,523,104500 ~ 107350,105925.0,-550.0,元/吨,2026-06-16
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,23350 ~ 32350,27850.0,-175.0,元/吨,2026-06-16
