commodity,scrape_time,product_name,grade,origin,min_price,max_price,avg_price,price,trend,unit
锂辉石,2026-05-22 17:01:00,锂辉石精矿,5.0-5.5%,澳大利亚,2610,2660,2635,,,元/吨
锂辉石,2026-05-22 17:01:00,锂辉石精矿,5.0-5.5%,津巴布韦,2600,2650,2625,,,元/吨
锂辉石,2026-05-22 17:01:00,锂辉石精矿,5.0-5.5%,巴西,2600,2640,2620,,,元/吨
锂辉石,2026-05-22 17:01:00,锂辉石精矿,5.0-5.5%,马里,2740,2800,2770,,,元/吨
锂辉石,2026-05-22 17:01:00,锂辉石原矿,1.0-2.0%,南非,420,500,460,,,元/吨
锂云母,2026-05-22 17:01:01,锂云母精矿：2-2.5%Li：市场价格：中华人民共和国（日度）,,,,,,825.0,(0.00),元/吨度
